Year,Revenue,OperatingProfit,NetProfit,MarketingCosts,Assets,Equity,Cash,Liabilities,North_America_Pct,Europe_Pct,Asia_Pct,Poland_Pct,Deposits,RD_Expenditure,GrossProfit,AdminExpenses,EBITDA
2010,50446.0,-675.0,-3451.0,19602.0,167514.0,77665.0,15610.0,89849.0,0.35,0.4,0.05,0.2,,,,,
2011,136210.0,27622.0,23962.0,37981.0,185726.0,123809.0,9819.0,61917.0,0.377,0.381,0.053,0.189,,,,,
2012,164040.0,28367.0,28125.0,25243.0,202892.0,151530.0,26866.0,51362.0,0.404,0.362,0.056,0.178,,,,,
2013,142172.0,14874.0,14851.0,22377.0,217635.0,167368.0,39684.0,50267.0,0.431,0.343,0.059,0.167,,,,,
2014,96194.0,6150.0,4679.0,18484.0,248937.0,168018.0,34395.0,80919.0,0.458,0.324,0.062,0.156,547.0,,,,
2015,798014.0,424193.0,342430.0,62108.0,673946.0,513675.0,393637.0,160271.0,0.485,0.305,0.065,0.145,547.0,,,,
2016,583903.0,303627.0,250514.0,141784.0,874960.0,776938.0,557204.0,98022.0,0.512,0.286,0.068,0.134,194.0,,,,
2017,463184.0,240940.0,200270.0,110673.0,981513.0,882899.0,66987.0,98614.0,0.539,0.267,0.071,0.123,194.0,142486.0,,,
2018,362901.0,112392.0,109334.0,107183.0,1126838.0,1002864.0,103878.0,123974.0,0.566,0.248,0.074,0.112,,242816.0,,,
2019,521272.0,180286.0,175315.0,125341.0,1404108.0,1105651.0,49406.0,298457.0,0.593,0.229,0.077,0.101,,385848.0,,,
2020,2138875.0,1157077.0,1154327.0,408016.0,2894478.0,2187356.0,563335.0,707122.0,0.62,0.21,0.08,0.09,51588.0,406798.0,,,
2021,888172.0,232903.0,208908.0,299225.0,2158735.0,1894356.0,411586.0,264379.0,0.647,0.191,0.083,0.079,178540.0,350195.0,,,
2022,952576.0,377347.0,347093.0,222350.0,2274124.0,2033404.0,277827.0,240720.0,0.674,0.172,0.086,0.068,337330.0,473202.0,708602.0,75536.0,
2023,1230199.0,469040.0,481105.0,243796.0,2613438.0,2403490.0,178054.0,209948.0,0.701,0.153,0.089,0.057,338205.0,527182.0,849632.0,166507.0,
2024,985030.0,365496.0,469874.0,135368.0,3042424.0,2800667.0,124886.0,241757.0,0.728,0.134,0.092,0.046,522524.0,695421.0,737878.0,248310.0,
2025,866989.0,470648.0,594708.0,119214.0,3503320.0,3289859.0,114115.0,213461.0,0.755,0.115,0.095,0.035,520813.0,1148143.0,788016.0,224031.0,539317.0
